rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
62,contrat-bail-cote-d-ivoire-fr,Contrat de bail - Cote d'Ivoire,/fr/tools/contrat-bail/cote-d-ivoire,legal,Mortgage & Property,live,fr,82,B,standard-grade,P3-monitor,1,Legal and compliance workflow,LegalZoom; Rocket Lawyer; local regulator portals,,saveExport; officialSource; workflowCopy; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; no verification panel; weak title length
63,suivi-hawala-fr,Suivi transferts Hawala,/fr/tools/suivi-hawala,african,Uniquely African,live,fr,82,B,standard-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,saveExport; browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
64,assurance-auto-cote-d-ivoire-fr,Assurance auto - Cote d'Ivoire,/fr/tools/assurance-auto/cote-d-ivoire,insurance,Insurance,live,fr,82,B,standard-grade,P3-monitor,1,Insurance estimator,insurer quote tools; comparison marketplaces,methodology,saveExport; businessCta; browserOk,no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; missing methodology/breakdown; no verification panel
65,planificateur-retraite-fr,Planificateur retraite,/fr/tools/planificateur-retraite,financial,"Finance, Tax & Market Data",live,fr,82,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer; currentYear,officialSource; businessCta; browserOk,browser smoke not run; stale or undated assumptions; missing disclaimer/limitations; weak meta description length; lags category-required features
66,cd-paye-fr,Calculateur Salaire Net — RDC,/fr/rdc/calculateur-salaire-net,financial,"Finance, Tax & Market Data",live,fr,83,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology,officialSource; businessCta; verificationPanel; browserOk,no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; missing methodology/breakdown; no verification panel
67,gambia-kikokotoo-kodi-mshahara-sw,Kikokotoo cha Kodi ya Mshahara Gambia 2026 — GRA PAYE,/sw/gambia/kikokotoo-kodi-mshahara/,financial,"Finance, Tax & Market Data",live,sw,83,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,businessCta; browserOk,no workflow or methodology evidence; browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations; lags category-required features
68,mshahara-na-kodi-business-tax-sw,"Kodi za Biashara na Mtaji Afrika 2026 - Kodi ya Kampuni, Faida ya Mtaji, Makato ya Chanzo",/sw/mshahara-na-kodi/business-tax/,financial,"Finance, Tax & Market Data",live,sw,83,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,,officialSource; saveExport; businessCta; verificationPanel; browserOk,missing export/copy/save path; browser smoke not run; missing official/verification evidence; no verification panel; weak title length
69,south-sudan-kikokotoo-kodi-mshahara-sw,Kikokotoo cha Kodi ya Mshahara Sudani Kusini 2025/26 — PAYE SSP,/sw/south-sudan/kikokotoo-kodi-mshahara/,financial,"Finance, Tax & Market Data",live,sw,83,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,businessCta; browserOk,no workflow or methodology evidence; browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations; lags category-required features
70,comparateur-financement-commerce-fr,Comparateur financement commercial,/fr/tools/comparateur-financement-commerce,trade,Trade & Import,live,fr,83,B,standard-grade,P3-monitor,1,Trade and logistics calculator,DHL calculators; Freightos; customs authority portals,methodology,officialSource; businessCta; browserOk,no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; missing methodology/breakdown; no verification panel
71,afroatlas-fr,AfroAtlas — Carte interactive,/fr/tools/afroatlas,african,Uniquely African,live,fr,83,B,standard-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
72,generateur-recu-fr,Générateur de reçu,/fr/tools/generateur-recu,document-pdf,Document & PDF,live,fr,83,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,fileUpload; download; privacyLocal,batchWorkflow; workflowCopy; browserOk,no workflow or methodology evidence; browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
73,guide-diaspora-fr,Guide de la diaspora,/fr/tools/guide-diaspora,african,Uniquely African,live,fr,83,B,standard-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,saveExport; browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
