"route","file","issue_id","detail"
"/sw/mshahara-na-kodi/","sw/mshahara-na-kodi/index.html","many_inline_dark_text_colors","197 inline dark text colors may clash in dark mode."
"/sw/namibia/","sw/namibia/index.html","many_inline_light_backgrounds","18 inline light backgrounds may need token coverage."
"/sw/namibia/","sw/namibia/index.html","many_inline_dark_text_colors","17 inline dark text colors may clash in dark mode."
"/sw/nchi/","sw/nchi/index.html","many_inline_light_backgrounds","186 inline light backgrounds may need token coverage."
"/sw/nchi/","sw/nchi/index.html","many_inline_dark_text_colors","150 inline dark text colors may clash in dark mode."
"/sw/niger/","sw/niger/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/niger/","sw/niger/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/nigeria/","sw/nigeria/index.html","many_inline_light_backgrounds","143 inline light backgrounds may need token coverage."
"/sw/nigeria/","sw/nigeria/index.html","many_inline_dark_text_colors","108 inline dark text colors may clash in dark mode."
"/sw/nyumba-na-ardhi/","sw/nyumba-na-ardhi/index.html","many_inline_light_backgrounds","41 inline light backgrounds may need token coverage."
"/sw/nyumba-na-ardhi/","sw/nyumba-na-ardhi/index.html","many_inline_dark_text_colors","33 inline dark text colors may clash in dark mode."
"/sw/picha-na-design/","sw/picha-na-design/index.html","many_inline_light_backgrounds","11 inline light backgrounds may need token coverage."
"/sw/rwanda/","sw/rwanda/index.html","many_inline_light_backgrounds","137 inline light backgrounds may need token coverage."
"/sw/rwanda/","sw/rwanda/index.html","many_inline_dark_text_colors","107 inline dark text colors may clash in dark mode."
"/sw/sao-tome/","sw/sao-tome/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/sao-tome/","sw/sao-tome/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/senegal/","sw/senegal/index.html","many_inline_light_backgrounds","66 inline light backgrounds may need token coverage."
"/sw/senegal/","sw/senegal/index.html","many_inline_dark_text_colors","39 inline dark text colors may clash in dark mode."
"/sw/serikali-na-nyaraka/","sw/serikali-na-nyaraka/index.html","many_inline_light_backgrounds","54 inline light backgrounds may need token coverage."
"/sw/serikali-na-nyaraka/","sw/serikali-na-nyaraka/index.html","many_inline_dark_text_colors","35 inline dark text colors may clash in dark mode."
